Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Date,Dublin Core:Coverage,Dublin Core:Source,Dublin Core:Format,Dublin Core:Type,Dublin Core:Subject,Dublin Core:Rights,Dublin Core:Identifier,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:URL
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.70 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto842,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto842.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.72 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto843,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto843.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.68 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto844,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto844.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.99 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto845,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto845.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.38 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto846,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto846.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto847,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto847.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.35 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto848,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto848.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.65 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto849,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto849.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.84 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto850,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto850.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.17 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto851,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto851.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.88 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0852,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0852.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.42 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0853,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0853.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.58 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0854,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0854.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.63 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0855,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0855.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.08 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0856,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0856.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.79 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0857,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0857.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.19 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0858,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0858.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.61 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0859,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0859.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0860,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0860.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.24 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0861,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0861.jpg
