Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Date,Dublin Core:Coverage,Dublin Core:Source,Dublin Core:Format,Dublin Core:Type,Dublin Core:Subject,Dublin Core:Rights,Dublin Core:Identifier,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:URL
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto811,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto811.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto812,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto812.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.86 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto813,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto813.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.95 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto814,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto814.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.95 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto815,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto815.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto816,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto816.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto817,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto817.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto818,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto818.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.71 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto819,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto819.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.20 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto820,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto820.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.78 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto821,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto821.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.95 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto822,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto822.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.46 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto823,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto823.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto824,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto824.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto825,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto825.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.19 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto826,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto826.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.34 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto827,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto827.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.57 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto828,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto828.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 35.79 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto829,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto829.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.97 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto830,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto830.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.97 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto831,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto831.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto832,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto832.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.59 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto833,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto833.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto834,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto834.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto835,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto835.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto836,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto836.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto837,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto837.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto838,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto838.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto839,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto839.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.70 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto840,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto840.jpg
,,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.70 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto841,,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto841.jpg
