Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 23.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1139,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.86 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1140,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.95 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1141,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1142,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.68 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1143,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1144,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1145,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1146,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.78 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1147,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.31 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1148,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.79 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1149,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1150,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1151,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1152,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1153,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 18.65 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1154,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.30 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1155,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.28 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1156,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 26.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1157,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.13 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1158,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.80 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1160,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.20 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1161,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.69 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1162,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1163,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.53 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1164,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1165,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 14.51 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1166,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.76 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1167,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.36 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1168,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.35 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1168b,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.62 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1169,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.53 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1170,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.05 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1171,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.41 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1172,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1173,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1174,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.02 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1175,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1176,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1177,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1178,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.95 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1179,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1180,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 9.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1181,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1182,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.69 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1183,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.17 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1184,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1185,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.10 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1186,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.91 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1187,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.97 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1187,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.24 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1188,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.17 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1189,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.78 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1190,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.22 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1197,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.63 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1198,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.66 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1199,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.79 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1200,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.64 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1201,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.18 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1202,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.32 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1203,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.43 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1204,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.55 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1205,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1206,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.87 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1207,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1210,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.40 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1211,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1212,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.51 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1213,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1214,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.10 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1215,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.07 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1216,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.26 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1217,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.36 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1218,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.29 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1219,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.10 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1220,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.86 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1221,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1222,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.05 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1223,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.56 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1224,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.21 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1225,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.55 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1226,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.42 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1227,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.37 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1228,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.89 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1229,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1230,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.00 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1231,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.82 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1232,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1233,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.77 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1234,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.45 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1235,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1236,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.44 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1237,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.50 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1238,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.01 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1239,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.72 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1240,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.63 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1241,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.12 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1242,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.91 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1243,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.17 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1244,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.58 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1245,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.92 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1246,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 4.13 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1247,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.53 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1248,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.25 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1249,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.13 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1250,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.43 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1251,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.21 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1252,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.10 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1253,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.52 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1254,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.46 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1255,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 1.48 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1256,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.74 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1257,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.20 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1258,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 0.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1259,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1260,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.28 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1261,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.90 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1262,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.56 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1263,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.56 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1264,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.72 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1265,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 11.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1266,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.88 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1267,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.81 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1268,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.58 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1269,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 10.98 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto1270,,
