Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
,verso: Geo. Teall's,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.06 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0051,photograph; b&w,
,verso: Geneseo Looking west from near of Dorell Parking lot at right,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.45 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0052,photograph; b&w,
,verso: Geneseo Looking past 1st House to be acquired for Dormitory site at slop from upper campus to Elizabeth Street,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.61 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0053,photograph; b&w,
,verso: Slope from rear of Dormitory down to Elizabeth St.,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0054,photograph; b&w,
,verso: Second House on Elizabeth street to be acquired for Dormitory site.,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0055,photograph; b&w,
,,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.08 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0056,photograph; b&w,
,verso: Looking down slope from Parking lot toward Elizabeth St,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0057,photograph; b&w,
,verso: Showing Sinduis road from rear of dormitory down to Elizabeth street,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0058,photograph; b&w,
,verso: Looking down slope from Parking lot toward Elizabeth St,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 5.39 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0059,photograph; b&w,
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,1955-09-26,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 2.13 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0060,photograph; b&w,
